Customer_ID,Region,Age_Band,Account_Type,Account_Tenure_Years
100001,South East,45-54,Savings,15.5
100002,London,65+,Current,10.8
100003,East of England,35-44,Current,3.8
100004,South East,18-24,Current,3.6
100005,West Midlands,55-64,Current,6.1
100006,Wales,55-64,Premier,6.1
100007,South East,45-54,Savings,2.8
100008,South West,55-64,Current,16.7
100009,West Midlands,55-64,Current,5.7
100010,London,45-54,Savings,16.1
100011,Yorkshire and Humber,65+,Current,19.5
100012,East of England,55-64,Current,6.7
100013,London,45-54,Savings,19.4
100014,South West,35-44,Current,3.9
100015,London,18-24,Current,13.0
100016,North West,25-34,Current,19.8
100017,London,55-64,Current,16.2
100018,East Midlands,55-64,Savings,4.7
100019,South West,35-44,Savings,5.2
100020,London,45-54,Premier,5.3
100021,South East,25-34,Current,18.9
100022,Yorkshire and Humber,25-34,Savings,5.0
100023,Wales,65+,Premier,10.2
100024,East of England,35-44,Savings,7.1
100025,South East,25-34,Premier,7.3
100026,West Midlands,35-44,Premier,8.2
100027,London,35-44,Savings,7.0
100028,East Midlands,55-64,Premier,12.0
100029,West Midlands,65+,Savings,8.6
100030,South East,45-54,Current,8.9
100031,South East,45-54,Premier,10.2
100032,North East,35-44,Savings,7.2
100033,North West,45-54,Current,15.1
100034,Yorkshire and Humber,35-44,Current,10.1
100035,London,18-24,Current,10.2
100036,West Midlands,65+,Student,4.3
100037,West Midlands,35-44,Current,0.7
100038,London,45-54,Current,16.2
100039,North West,25-34,Current,17.1
100040,South East,55-64,Current,4.9
100041,London,25-34,Premier,7.3
100042,South West,35-44,Current,7.2
100043,South East,55-64,Current,13.7
100044,North West,35-44,Current,3.8
100045,South West,65+,Savings,19.6
100046,South West,25-34,Savings,1.3
100047,Yorkshire and Humber,55-64,Current,19.5
100048,North West,65+,Current,1.5
100049,South East,45-54,Premier,6.4
100050,West Midlands,55-64,Savings,5.1
100051,West Midlands,35-44,Savings,5.3
100052,East Midlands,55-64,Current,19.9
100053,South West,65+,Premier,9.2
100054,South East,55-64,Savings,2.5
100055,South East,65+,Current,19.6
100056,South West,45-54,Premier,4.9
100057,London,45-54,Student,1.5
100058,London,35-44,Savings,0.6
100059,West Midlands,55-64,Savings,9.3
100060,West Midlands,65+,Current,18.4
100061,South East,45-54,Current,0.4
100062,London,25-34,Current,14.5
100063,London,45-54,Current,5.3
100064,South East,55-64,Current,4.5
100065,London,65+,Current,14.1
100066,London,25-34,Premier,15.0
100067,London,25-34,Current,11.2
100068,North West,35-44,Savings,4.1
100069,East Midlands,25-34,Current,0.2
100070,London,65+,Current,14.8
100071,North West,35-44,Current,12.0
100072,Yorkshire and Humber,45-54,Current,8.5
100073,East of England,25-34,Current,4.4
100074,North West,35-44,Current,15.3
100075,East Midlands,65+,Savings,1.5
100076,North West,35-44,Current,12.9
100077,North West,18-24,Current,13.8
100078,South East,25-34,Current,4.5
100079,London,65+,Current,9.7
100080,South West,65+,Current,10.5
100081,South East,25-34,Current,11.9
100082,Yorkshire and Humber,45-54,Savings,18.0
100083,South West,25-34,Savings,11.0
100084,West Midlands,45-54,Student,1.4
100085,East Midlands,25-34,Savings,7.0
100086,West Midlands,55-64,Current,12.6
100087,South East,65+,Current,6.7
100088,London,25-34,Current,15.4
100089,West Midlands,35-44,Savings,3.9
